a 0.003018 0.003830 0.009560 0.014348 0.004544 0.001557 0.001635 0.001193 0.001809 0.001190 0.000153 0.013322 0.005285 0.013925 0.000837 0.004738 0.001579 0.014287 0.015579 0.004207 0.002223 0.001774 0.000042 0.000069 0.002358 0.000846
b 0.003059 0.000040 0.000028 0.000036 0.001346 0.000003 0.000002 0.000005 0.002523 0.000099 0.000002 0.001615 0.000011 0.000010 0.000856 0.000007 0.000004 0.002207 0.000166 0.000054 0.000664 0.000040 0.000001 0.000000 0.000015 0.000005
c 0.007789 0.000010 0.000668 0.000038 0.003747 0.000029 0.000009 0.001878 0.011501 0.000004 0.000067 0.000934 0.000024 0.000129 0.011264 0.000019 0.000016 0.001379 0.000034 0.002008 0.003211 0.000006 0.000001 0.000000 0.000017 0.000008
d 0.007053 0.000027 0.000134 0.000551 0.025661 0.000036 0.000025 0.000059 0.005427 0.000039 0.000005 0.000074 0.000160 0.000066 0.009829 0.000146 0.000098 0.000951 0.000134 0.000046 0.001000 0.000083 0.000008 0.000000 0.000150 0.000004
e 0.004156 0.001298 0.007310 0.005243 0.004504 0.001402 0.002809 0.001457 0.001221 0.001288 0.000090 0.020126 0.004598 0.023175 0.001226 0.003196 0.001132 0.015226 0.023134 0.003384 0.001850 0.002076 0.000073 0.001394 0.000666 0.000886
f 0.000885 0.000011 0.000029 0.000010 0.001379 0.000025 0.000034 0.000004 0.002150 0.000004 0.000002 0.000230 0.000016 0.000009 0.000935 0.000009 0.000003 0.000938 0.000015 0.000025 0.001283 0.000001 0.000000 0.000000 0.000005 0.000001
g 0.002526 0.000006 0.000014 0.000024 0.001360 0.000005 0.000017 0.000033 0.001192 0.000007 0.000007 0.000439 0.000032 0.000228 0.001872 0.000014 0.000006 0.001613 0.000023 0.000054 0.002329 0.000002 0.000003 0.000001 0.000015 0.000002
h 0.004028 0.000013 0.000028 0.000019 0.000951 0.000005 0.000004 0.000011 0.000796 0.000003 0.000005 0.000037 0.000019 0.000033 0.001710 0.000018 0.000007 0.000037 0.000024 0.000023 0.000407 0.000005 0.000005 0.000000 0.000021 0.000001
i 0.007757 0.001185 0.006634 0.005800 0.006024 0.000855 0.001889 0.000086 0.000173 0.000305 0.000054 0.002740 0.002769 0.007933 0.009782 0.000910 0.000185 0.002484 0.005557 0.003340 0.000339 0.001832 0.000006 0.000037 0.000066 0.001083
j 0.000922 0.000001 0.000004 0.000005 0.001071 0.000001 0.000001 0.000001 0.000079 0.000001 0.000003 0.000003 0.000005 0.000005 0.001320 0.000006 0.000001 0.000011 0.000005 0.000006 0.001132 0.000007 0.000000 0.000000 0.000002 0.000000
k 0.000189 0.000003 0.000009 0.000012 0.000099 0.000003 0.000003 0.000016 0.000165 0.000002 0.000003 0.000019 0.000007 0.000010 0.000096 0.000011 0.000005 0.000015 0.000023 0.000010 0.000033 0.000003 0.000002 0.000001 0.000020 0.000001
l 0.017987 0.000424 0.001775 0.001993 0.007251 0.000472 0.000976 0.000297 0.005367 0.000200 0.000036 0.002725 0.001485 0.000394 0.008401 0.002322 0.000445 0.000525 0.001087 0.001806 0.001463 0.000617 0.000015 0.000008 0.000275 0.000053
m 0.006545 0.001603 0.000034 0.000034 0.005058 0.000008 0.000010 0.000015 0.004287 0.000005 0.000004 0.000042 0.000030 0.000105 0.004032 0.002337 0.000009 0.000020 0.000276 0.000034 0.001863 0.000015 0.000003 0.000014 0.000023 0.000002
n 0.009967 0.000318 0.005518 0.006471 0.008285 0.001185 0.001190 0.000405 0.004511 0.000305 0.000066 0.002871 0.001176 0.000483 0.007610 0.001572 0.000767 0.000544 0.003547 0.012157 0.002232 0.000913 0.000020 0.000009 0.000392 0.000487
o 0.002822 0.002220 0.004157 0.006628 0.003903 0.000890 0.000987 0.000911 0.000641 0.000297 0.000054 0.004762 0.004760 0.016091 0.000421 0.003434 0.001618 0.009847 0.017947 0.002383 0.000879 0.001008 0.000052 0.000216 0.001412 0.000215
p 0.006854 0.000019 0.000121 0.000020 0.004294 0.000013 0.000011 0.000037 0.001346 0.000007 0.000002 0.001375 0.000011 0.000048 0.006111 0.000126 0.000006 0.004945 0.000162 0.000300 0.001969 0.000009 0.000004 0.000000 0.000023 0.000009
q 0.000017 0.000000 0.000001 0.000001 0.000001 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000002 0.000000 0.008400 0.000000 0.000001 0.000000 0.000001 0.000000
